Vehicles,Column1,Month,Year,Units,Vehicles.1,Vehicles_Cleaned,Classification,Category.1,Date
Suzuki Mehran,Prod.,Jul,2007,2976.0,Suzuki Mehran,Suzuki Mehran,800 cc & Below 1000cc,CARS,2007-07-01
Suzuki Mehran,Prod.,Aug,2007,3328.0,Suzuki Mehran,Suzuki Mehran,800 cc & Below 1000cc,CARS,2007-08-01
Suzuki Mehran,Prod.,Sep,2007,3109.0,Suzuki Mehran,Suzuki Mehran,800 cc & Below 1000cc,CARS,2007-09-01
Suzuki Mehran,Prod.,Oct,2007,2814.0,Suzuki Mehran,Suzuki Mehran,800 cc & Below 1000cc,CARS,2007-10-01
Suzuki Mehran,Prod.,Nov,2007,3475.0,Suzuki Mehran,Suzuki Mehran,800 cc & Below 1000cc,CARS,2007-11-01
Suzuki Mehran,Prod.,Dec,2007,2193.0,Suzuki Mehran,Suzuki Mehran,800 cc & Below 1000cc,CARS,2007-12-01
Suzuki Mehran,Prod.,Jan,2008,3047.0,Suzuki Mehran,Suzuki Mehran,800 cc & Below 1000cc,CARS,2008-01-01
Suzuki Mehran,Prod.,Feb,2008,3008.0,Suzuki Mehran,Suzuki Mehran,800 cc & Below 1000cc,CARS,2008-02-01
Suzuki Mehran,Prod.,Mar,2008,2983.0,Suzuki Mehran,Suzuki Mehran,800 cc & Below 1000cc,CARS,2008-03-01
Suzuki Mehran,Prod.,Apr,2008,3599.0,Suzuki Mehran,Suzuki Mehran,800 cc & Below 1000cc,CARS,2008-04-01
Suzuki Mehran,Prod.,May,2008,3633.0,Suzuki Mehran,Suzuki Mehran,800 cc & Below 1000cc,CARS,2008-05-01
Suzuki Mehran,Prod.,Jun,2008,2084.0,Suzuki Mehran,Suzuki Mehran,800 cc & Below 1000cc,CARS,2008-06-01
Suzuki Mehran,Sale,Jul,2007,2690.0,Suzuki Mehran,Suzuki Mehran,800 cc & Below 1000cc,CARS,2007-07-01
Suzuki Mehran,Sale,Aug,2007,3566.0,Suzuki Mehran,Suzuki Mehran,800 cc & Below 1000cc,CARS,2007-08-01
Suzuki Mehran,Sale,Sep,2007,2603.0,Suzuki Mehran,Suzuki Mehran,800 cc & Below 1000cc,CARS,2007-09-01
